filepath,vresult,rresult,fresult,changes,timetaken
baseline/B01_simple_race.c,xfail,pass,,1,735
baseline/B02_multiple_races.c,xfail,pass,,3,725
baseline/B03_singleline_race.c,xfail,pass,,1,689
baseline/B04_unnecessary_barrier.c,pass,pass,,1,765
baseline/B05_incorrect_barrier.c,xfail,pass,,2,889
baseline/B06_multiple_blocks.c,xfail,pass,,2,931
baseline/B07_racefree.c,pass,pass,,0,730
baseline/B08_for_race.c,xfail,pass,,1,830
baseline/B09_for_multiple_races.c,xfail,pass,,1,889
baseline/B10_for_multiple_races.c,xfail,pass,,1,1012
baseline/B11_for_multiple_blocks.c,xfail,pass,,2,1006
baseline/B12_for_singleline_race.c,xfail,pass,,1,1045
